"","Mutation_count","Gene_symbol","Chromosome"
"80832",53,"APOL4","chr22"
"613",37,"BCR","chr22"
"11078",35,"TRIOBP","chr22"
"27341",31,"RRP7A","chr22"
"55007",29,"FAM118A","chr22"
"1727",28,"CYB5R3","chr22"
"23313",28,"KIAA0930","chr22"
"10738",27,"RFPL3","chr22"
"23542",27,"MAPK8IP2","chr22"
"23762",26,"OSBP2","chr22"
"25793",26,"FBXO7","chr22"
"129025",25,"ZNF280A","chr22"
"57553",25,"MICAL3","chr22"
"23784",24,"POTEH","chr22"
"9609",24,"RAB36","chr22"
"23779",23,"ARHGAP8","chr22"
"51816",23,"ADA2","chr22"
"112885",22,"PHF21B","chr22"
"23532",22,"PRAME","chr22"
"23765",22,"IL17RA","chr22"
"25809",22,"TTLL1","chr22"
"83642",22,"SELENOO","chr22"
"89781",22,"HPS4","chr22"
"27443",21,"CECR2","chr22"
"79174",21,"CRELD2","chr22"
"9620",21,"CELSR1","chr22"
"11252",20,"PACSIN2","chr22"
"10762",19,"NUP50","chr22"
"114904",19,"C1QTNF6","chr22"
"440822",19,"PIWIL3","chr22"
"6300",19,"MAPK12","chr22"
"91464",19,"ISX","chr22"
"10587",18,"TXNRD2","chr22"
"114794",18,"ELFN2","chr22"
"1312",18,"COMT","chr22"
"150365",18,"MEI1","chr22"
"150372",18,"NFAM1","chr22"
"80833",18,"APOL3","chr22"
"84247",18,"RTL6","chr22"
"29780",17,"PARVB","chr22"
"29801",17,"ZDHHC8","chr22"
"339665",17,"SLC35E4","chr22"
"421",17,"ARVCF","chr22"
"64800",17,"EFCAB6","chr22"
"758",17,"MPPED1","chr22"
"84700",17,"MYO18B","chr22"
"128989",16,"TANGO2","chr22"
"7380",16,"UPK3A","chr22"
"79087",16,"ALG12","chr22"
"8216",16,"LZTR1","chr22"
"8224",16,"SYN3","chr22"
"100506714",15,"NUP50-DT","chr22"
"1439",15,"CSF2RB","chr22"
"150209",15,"AIFM3","chr22"
"1565",15,"CYP2D6","chr22"
"200316",15,"APOBEC3F","chr22"
"2192",15,"FBLN1","chr22"
"400931",15,"MIRLET7BHG","chr22"
"410",15,"ARSA","chr22"
"51586",15,"MED15","chr22"
"55615",15,"PRR5","chr22"
"83606",15,"GUCD1","chr22"
"8911",15,"CACNA1I","chr22"
"9215",15,"LARGE1","chr22"
"128954",14,"GAB4","chr22"
"164656",14,"TMPRSS6","chr22"
"23467",14,"NPTXR","chr22"
"23492",14,"CBX7","chr22"
"25771",14,"TBC1D22A","chr22"
"57026",14,"PDXP","chr22"
"10737",13,"RFPL3S","chr22"
"11020",13,"IFT27","chr22"
"23112",13,"TNRC6B","chr22"
"23761",13,"PISD","chr22"
"27127",13,"SMC1B","chr22"
"53947",13,"A4GALT","chr22"
"55267",13,"PRR34","chr22"
"64098",13,"PARVG","chr22"
"646851",13,"FAM227A","chr22"
"64781",13,"CERK","chr22"
"7353",13,"UFD1","chr22"
"7441",13,"VPREB1","chr22"
"84271",13,"POLDIP3","chr22"
"9681",13,"DEPDC5","chr22"
"100616143",12,"MIR4763","chr22"
"140883",12,"ZNF280B","chr22"
"1564",12,"CYP2D7","chr22"
"162",12,"AP1B1","chr22"
"23151",12,"GRAMD4","chr22"
"23616",12,"SH3BP1","chr22"
"23654",12,"PLXNB2","chr22"
"26088",12,"GGA1","chr22"
"26286",12,"ARFGAP3","chr22"
"266629",12,"SEC14L3","chr22"
"402055",12,"SRRD","chr22"
"406884",12,"MIRLET7B","chr22"
"4282",12,"MIF","chr22"
"730668",12,"LOC730668","chr22"
"85378",12,"TUBGCP6","chr22"
"91355",12,"LRP5L","chr22"
"9145",12,"SYNGR1","chr22"
"9701",12,"PPP6R2","chr22"
"23759",11,"PPIL2","chr22"
"25830",11,"SULT4A1","chr22"
"284889",11,"MIF-AS1","chr22"
"375133",11,"PI4KAP2","chr22"
"400927",11,"TPTEP2","chr22"
"406883",11,"MIRLET7A3","chr22"
"4248",11,"MGAT3","chr22"
"54456",11,"MOV10L1","chr22"
"5600",11,"MAPK11","chr22"
"6753",11,"SSTR3","chr22"
"7332",11,"UBE2L3","chr22"
"79019",11,"CENPM","chr22"
"91179",11,"SCARF2","chr22"
"91353",11,"IGLL3P","chr22"
"9342",11,"SNAP29","chr22"
"9889",11,"ZBED4","chr22"
"10454",10,"TAB1","chr22"
"150290",10,"DUSP18","chr22"
"23170",10,"TTLL12","chr22"
"23544",10,"SEZ6L","chr22"
"23780",10,"APOL2","chr22"
"26150",10,"RIBC2","chr22"
"2678",10,"GGT1","chr22"
"27349",10,"MCAT","chr22"
"27439",10,"TMEM121B","chr22"
"29797",10,"POM121L8P","chr22"
"3053",10,"SERPIND1","chr22"
"388886",10,"LRRC75B","chr22"
"4771",10,"NF2","chr22"
"55670",10,"PEX26","chr22"
"60489",10,"APOBEC3G","chr22"
"6122",10,"RPL3","chr22"
"6598",10,"SMARCB1","chr22"
"729444",10,NA,"chr22"
"9993",10,"DGCR2","chr22"
"100874197",9,"EFCAB6-AS1","chr22"
"10521",9,"DDX17","chr22"
"150379",9,"PNPLA5","chr22"
"23384",9,"SPECC1L","chr22"
"23551",9,"RASD2","chr22"
"253190",9,"SERHL2","chr22"
"25817",9,"TAFA5","chr22"
"26222",9,NA,"chr22"
"2679",9,"GGT3P","chr22"
"27128",9,"CYTH4","chr22"
"348645",9,"MIR3667HG","chr22"
"386593",9,"CHKB-CPT1B","chr22"
"4627",9,"MYH9","chr22"
"4668",9,"NAGA","chr22"
"553158",9,"PRR5-ARHGAP8","chr22"
"7533",9,"YWHAH","chr22"
"80274",9,"SCUBE1","chr22"
"80831",9,"APOL5","chr22"
"8218",9,"CLTCL1","chr22"
"8398",9,"PLA2G6","chr22"
"8897",9,"MTMR3","chr22"
"91289",9,"LMF2","chr22"
"10043",8,"TOM1","chr22"
"150197",8,"LINC00896","chr22"
"23119",8,"HIC2","chr22"
"23464",8,"GCAT","chr22"
"23541",8,"SEC14L2","chr22"
"23774",8,"BRD1","chr22"
"24144",8,"TFIP11","chr22"
"254240",8,"BPIFC","chr22"
"25776",8,"CBY1","chr22"
"25777",8,"SUN2","chr22"
"26220",8,"DGCR5","chr22"
"2847",8,"MCHR1","chr22"
"400935",8,"IL17REL","chr22"
"406920",8,"MIR130B","chr22"
"415116",8,"PIM3","chr22"
"4744",8,"NEFH","chr22"
"5297",8,"PI4KA","chr22"
"54487",8,"DGCR8","chr22"
"550631",8,"CCDC157","chr22"
"5625",8,"PRODH","chr22"
"5902",8,"RANBP1","chr22"
"5905",8,"RANGAP1","chr22"
"6523",8,"SLC5A1","chr22"
"6721",8,"SREBF2","chr22"
"6948",8,"TCN2","chr22"
"84133",8,"ZNRF3","chr22"
"8542",8,"APOL1","chr22"
"8563",8,"THOC5","chr22"
"9814",8,"SFI1","chr22"
"100126318",7,"MIR301B","chr22"
"100616414",7,"MIR4761","chr22"
"113791",7,"PIK3IP1","chr22"
"113828",7,"FAM83F","chr22"
"135",7,"ADORA2A","chr22"
"1454",7,"CSNK1E","chr22"
"150244",7,"ZDHHC8BP","chr22"
"164668",7,"APOBEC3H","chr22"
"23481",7,"PES1","chr22"
"253143",7,"PRR14L","chr22"
"27124",7,"INPP5J","chr22"
"2781",7,"GNAZ","chr22"
"3005",7,"H1-0","chr22"
"3761",7,"KCNJ4","chr22"
"3985",7,"LIMK2","chr22"
"414918",7,"DENND6B","chr22"
"4151",7,"MB","chr22"
"5155",7,"PDGFB","chr22"
"56478",7,"EIF4ENIF1","chr22"
"6305",7,"SBF1","chr22"
"648691",7,"LL22NC03-63E9.3","chr22"
"7122",7,"CLDN5","chr22"
"8459",7,"TPST2","chr22"
"9997",7,"SCO2","chr22"
"100271722",6,"LINC00899","chr22"
"10042",6,"HMGXB4","chr22"
"100500860",6,"MIR3618","chr22"
"10634",6,"GAS2L1","chr22"
"1120",6,"CHKB","chr22"
"115650",6,"TNFRSF13C","chr22"
"129049",6,"SGSM1","chr22"
"129080",6,"EMID1","chr22"
"1399",6,"CRKL","chr22"
"1415",6,"CRYBB2","chr22"
"150297",6,"C22orf42","chr22"
"150368",6,"PHETA2","chr22"
"164633",6,"CABP7","chr22"
"23539",6,"SLC16A8","chr22"
"23786",6,"BCL2L13","chr22"
"284865",6,"LINC02891","chr22"
"284933",6,"LOC284933","chr22"
"388849",6,"CCDC188","chr22"
"3976",6,"LIF","chr22"
"440823",6,"MIAT","chr22"
"440836",6,"CIMAP1B","chr22"
"50487",6,"PLA2G3","chr22"
"51493",6,"RTCB","chr22"
"51537",6,"MTFP1","chr22"
"51807",6,"TUBA8","chr22"
"56666",6,"PANX2","chr22"
"57168",6,"ASPHD2","chr22"
"5816",6,"PVALB","chr22"
"5988",6,"RFPL1","chr22"
"645426",6,"TMEM191C","chr22"
"652968",6,"CASTOR1","chr22"
"6576",6,"SLC25A1","chr22"
"6899",6,"TBX1","chr22"
"7152",6,"TOP1P2","chr22"
"80115",6,"BAIAP2L2","chr22"
"80764",6,"THAP7","chr22"
"8214",6,"DGCR6","chr22"
"85352",6,"SHISAL1","chr22"
"85379",6,"KIAA1671","chr22"
"9127",6,"P2RX6","chr22"
"9567",6,"GTPBP1","chr22"
"100128946",5,"LINC01310","chr22"
"100130418",5,"CECR7","chr22"
"100526833",5,"SEPT5-GP1BB","chr22"
"100616283",5,"MIR4766","chr22"
"113730",5,"KLHDC7B","chr22"
"150165",5,"XKR3","chr22"
"164592",5,"CCDC116","chr22"
"23764",5,"MAFF","chr22"
"2547",5,"XRCC6","chr22"
"267020",5,"ATP5MGL","chr22"
"339666",5,"LOC339666","chr22"
"388910",5,"LINC00207","chr22"
"3956",5,"LGALS1","chr22"
"4174",5,"MCM5","chr22"
"440829",5,"SHISA8","chr22"
"4689",5,"NCF4","chr22"
"4700",5,"NDUFA6","chr22"
"50",5,"ACO2","chr22"
"5435",5,"POLR2F","chr22"
"55586",5,"MIOX","chr22"
"56993",5,"TOMM22","chr22"
"57591",5,"MRTFA","chr22"
"6545",5,"SLC7A4","chr22"
"6634",5,"SNRPD3","chr22"
"723778",5,"MIR650","chr22"
"79159",5,"NOL12","chr22"
"79924",5,"ADM2","chr22"
"80020",5,"FOXRED2","chr22"
"83746",5,"L3MBTL2","chr22"
"83999",5,"KREMEN1","chr22"
"85376",5,"RIMBP3","chr22"
"91316",5,"GUSBP11","chr22"
"91319",5,"DERL3","chr22"
"94009",5,"SERHL","chr22"
"100128531",4,"KIAA1671-AS1","chr22"
"100423062",4,"IGLL5","chr22"
"100500826",4,"MIR3909","chr22"
"100506195",4,"LARGE-AS1","chr22"
"100616295",4,"MIR4764","chr22"
"10126",4,"DNAL4","chr22"
"10739",4,"RFPL2","chr22"
"10766",4,"TOB2","chr22"
"128977",4,"C22orf39","chr22"
"140564",4,"APOBEC3D","chr22"
"150160",4,"CCT8L2","chr22"
"150223",4,"YDJC","chr22"
"164684",4,"WBP2NL","chr22"
"200312",4,"RNF215","chr22"
"23331",4,"TTC28","chr22"
"23466",4,"CBX6","chr22"
"23543",4,"RBFOX2","chr22"
"23617",4,"TSSK2","chr22"
"25775",4,"YWHAH-AS1","chr22"
"25786",4,"DGCR11","chr22"
"25828",4,"TXN2","chr22"
"266747",4,"RGL4","chr22"
"267010",4,"RNU12","chr22"
"2687",4,"GGT5","chr22"
"27156",4,"RSPH14","chr22"
